Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2019-09-26,ySC2wS7yQg,ZAIuKpHvue,9KTc6jUZeM,Dumbbell Lunge,5,6.8038936415345965,fake_id_539
2020-02-25,RI2RCTE0xV,mvkMgAdecH,UPNkKUyN7F,Dumbbell Shoulder Press,12,6.0,fake_id_566
2019-10-14,e2sb5pAe5D,6REm9Tfqpa,TKmU2IgfJu,Dumbbell Row,10,4.535929094356398,fake_id_521
2019-08-20,sfFpb4QBSI,h85ZOw37Wc,M97UFBY8PB,Dumbbell Bench Press,10,11.339822735890994,fake_id_544
2019-09-03,IXBB34OTqr,mvkMgAdecH,DWGUHbgVcO,Dumbbell Shoulder Press,5,20.0,fake_id_505
2019-12-09,n66K5S35rd,G1mxtZtEs5,bBm6ltCAPV,Back Squat,5,142.88176647222653,fake_id_617
2019-11-22,ya2PMPBYvK,52vo7F7CLd,f3rbr9wyeU,Close-Grip Bench Press,8,50.0,fake_id_505
2020-03-16,Qsi7MdPTkZ,mnwUcsbS9T,x62kOfRSf8,Barbell Bench Press,10,70.30690096252415,fake_id_534
2020-07-27,qPJWWqfXQb,mnwUcsbS9T,agquwMkhTf,Barbell Bench Press,10,38.55539730202938,fake_id_567
2019-10-18,dJoyiMYOuj,h85ZOw37Wc,62LM1T9kbU,Dumbbell Bench Press,7,15.0,fake_id_505
2020-06-13,0FGFKSQH6Y,G1mxtZtEs5,yNxvNQSvb9,Back Squat,10,43.091326396385774,fake_id_556
2019-11-27,Mt0mL5HHxH,G1mxtZtEs5,CsNZjZHH5X,Back Squat,12,45.35929094356398,fake_id_583
2020-06-19,EUfFAsyHUb,6REm9Tfqpa,564JNgshu1,Dumbbell Row,10,36.28743275485118,fake_id_517
2019-11-13,lM5jiJ2Zwi,h85ZOw37Wc,QjheBRs37I,Dumbbell Bench Press,5,18.14371637742559,fake_id_587
2020-01-30,9Uj3kVuvjD,mvkMgAdecH,DSMe0poctI,Dumbbell Shoulder Press,10,20.0,fake_id_514
2020-01-18,nbh7vFhBBR,mvkMgAdecH,EbmOo1IeYU,Dumbbell Shoulder Press,11,9.071858188712795,fake_id_554
